2025-08-09 02:57:14.335 - SignalR Publisher Starting (.NET 8 Version)...
2025-08-09 02:57:30.892 - Connecting to SignalR hub at http://localhost:8081/performanceTestHub (.NET 8)
2025-08-09 02:57:31.243 - Connected to SignalR hub (.NET 8)
2025-08-09 02:57:32.250 - Starting warm-up phase with 100 messages (.NET 8)
2025-08-09 02:57:32.452 - Sent 100 WARMUP messages... (.NET 8)
2025-08-09 02:57:32.453 - Completed sending all 100 WARMUP messages (.NET 8)
2025-08-09 02:57:32.454 - Warm-up phase completed (.NET 8)
2025-08-09 02:57:34.454 - Starting performance test with 10000 messages (.NET 8)
2025-08-09 02:57:34.563 - Sent 100 TEST messages... (.NET 8)
2025-08-09 02:57:34.670 - Sent 200 TEST messages... (.NET 8)
2025-08-09 02:57:34.762 - Sent 300 TEST messages... (.NET 8)
2025-08-09 02:57:34.854 - Sent 400 TEST messages... (.NET 8)
2025-08-09 02:57:34.946 - Sent 500 TEST messages... (.NET 8)
2025-08-09 02:57:35.068 - Sent 600 TEST messages... (.NET 8)
2025-08-09 02:57:35.162 - Sent 700 TEST messages... (.NET 8)
2025-08-09 02:57:35.254 - Sent 800 TEST messages... (.NET 8)
2025-08-09 02:57:35.346 - Sent 900 TEST messages... (.NET 8)
2025-08-09 02:57:35.439 - Sent 1000 TEST messages... (.NET 8)
2025-08-09 02:57:35.530 - Sent 1100 TEST messages... (.NET 8)
2025-08-09 02:57:35.625 - Sent 1200 TEST messages... (.NET 8)
2025-08-09 02:57:35.717 - Sent 1300 TEST messages... (.NET 8)
2025-08-09 02:57:35.810 - Sent 1400 TEST messages... (.NET 8)
2025-08-09 02:57:35.904 - Sent 1500 TEST messages... (.NET 8)
2025-08-09 02:57:35.995 - Sent 1600 TEST messages... (.NET 8)
2025-08-09 02:57:36.073 - Sent 1700 TEST messages... (.NET 8)
2025-08-09 02:57:36.152 - Sent 1800 TEST messages... (.NET 8)
2025-08-09 02:57:36.244 - Sent 1900 TEST messages... (.NET 8)
2025-08-09 02:57:36.322 - Sent 2000 TEST messages... (.NET 8)
2025-08-09 02:57:36.400 - Sent 2100 TEST messages... (.NET 8)
2025-08-09 02:57:36.491 - Sent 2200 TEST messages... (.NET 8)
2025-08-09 02:57:36.582 - Sent 2300 TEST messages... (.NET 8)
2025-08-09 02:57:36.660 - Sent 2400 TEST messages... (.NET 8)
2025-08-09 02:57:36.736 - Sent 2500 TEST messages... (.NET 8)
2025-08-09 02:57:36.814 - Sent 2600 TEST messages... (.NET 8)
2025-08-09 02:57:36.890 - Sent 2700 TEST messages... (.NET 8)
2025-08-09 02:57:36.968 - Sent 2800 TEST messages... (.NET 8)
2025-08-09 02:57:37.044 - Sent 2900 TEST messages... (.NET 8)
2025-08-09 02:57:37.121 - Sent 3000 TEST messages... (.NET 8)
2025-08-09 02:57:37.198 - Sent 3100 TEST messages... (.NET 8)
2025-08-09 02:57:37.275 - Sent 3200 TEST messages... (.NET 8)
2025-08-09 02:57:37.352 - Sent 3300 TEST messages... (.NET 8)
2025-08-09 02:57:37.430 - Sent 3400 TEST messages... (.NET 8)
2025-08-09 02:57:37.521 - Sent 3500 TEST messages... (.NET 8)
2025-08-09 02:57:37.614 - Sent 3600 TEST messages... (.NET 8)
2025-08-09 02:57:37.706 - Sent 3700 TEST messages... (.NET 8)
2025-08-09 02:57:37.797 - Sent 3800 TEST messages... (.NET 8)
2025-08-09 02:57:37.874 - Sent 3900 TEST messages... (.NET 8)
2025-08-09 02:57:37.951 - Sent 4000 TEST messages... (.NET 8)
2025-08-09 02:57:38.028 - Sent 4100 TEST messages... (.NET 8)
2025-08-09 02:57:38.119 - Sent 4200 TEST messages... (.NET 8)
2025-08-09 02:57:38.197 - Sent 4300 TEST messages... (.NET 8)
2025-08-09 02:57:38.275 - Sent 4400 TEST messages... (.NET 8)
2025-08-09 02:57:38.365 - Sent 4500 TEST messages... (.NET 8)
2025-08-09 02:57:38.442 - Sent 4600 TEST messages... (.NET 8)
2025-08-09 02:57:38.534 - Sent 4700 TEST messages... (.NET 8)
2025-08-09 02:57:38.611 - Sent 4800 TEST messages... (.NET 8)
2025-08-09 02:57:38.688 - Sent 4900 TEST messages... (.NET 8)
2025-08-09 02:57:38.765 - Sent 5000 TEST messages... (.NET 8)
2025-08-09 02:57:38.855 - Sent 5100 TEST messages... (.NET 8)
2025-08-09 02:57:38.932 - Sent 5200 TEST messages... (.NET 8)
2025-08-09 02:57:39.024 - Sent 5300 TEST messages... (.NET 8)
2025-08-09 02:57:39.101 - Sent 5400 TEST messages... (.NET 8)
2025-08-09 02:57:39.179 - Sent 5500 TEST messages... (.NET 8)
2025-08-09 02:57:39.256 - Sent 5600 TEST messages... (.NET 8)
2025-08-09 02:57:39.347 - Sent 5700 TEST messages... (.NET 8)
2025-08-09 02:57:39.425 - Sent 5800 TEST messages... (.NET 8)
2025-08-09 02:57:39.504 - Sent 5900 TEST messages... (.NET 8)
2025-08-09 02:57:39.582 - Sent 6000 TEST messages... (.NET 8)
2025-08-09 02:57:39.660 - Sent 6100 TEST messages... (.NET 8)
2025-08-09 02:57:39.737 - Sent 6200 TEST messages... (.NET 8)
2025-08-09 02:57:39.814 - Sent 6300 TEST messages... (.NET 8)
2025-08-09 02:57:39.891 - Sent 6400 TEST messages... (.NET 8)
2025-08-09 02:57:39.969 - Sent 6500 TEST messages... (.NET 8)
2025-08-09 02:57:40.047 - Sent 6600 TEST messages... (.NET 8)
2025-08-09 02:57:40.125 - Sent 6700 TEST messages... (.NET 8)
2025-08-09 02:57:40.203 - Sent 6800 TEST messages... (.NET 8)
2025-08-09 02:57:40.282 - Sent 6900 TEST messages... (.NET 8)
2025-08-09 02:57:40.361 - Sent 7000 TEST messages... (.NET 8)
2025-08-09 02:57:40.438 - Sent 7100 TEST messages... (.NET 8)
2025-08-09 02:57:40.517 - Sent 7200 TEST messages... (.NET 8)
2025-08-09 02:57:40.596 - Sent 7300 TEST messages... (.NET 8)
2025-08-09 02:57:40.674 - Sent 7400 TEST messages... (.NET 8)
2025-08-09 02:57:40.752 - Sent 7500 TEST messages... (.NET 8)
2025-08-09 02:57:40.832 - Sent 7600 TEST messages... (.NET 8)
2025-08-09 02:57:40.911 - Sent 7700 TEST messages... (.NET 8)
2025-08-09 02:57:40.988 - Sent 7800 TEST messages... (.NET 8)
2025-08-09 02:57:41.067 - Sent 7900 TEST messages... (.NET 8)
2025-08-09 02:57:41.147 - Sent 8000 TEST messages... (.NET 8)
2025-08-09 02:57:41.225 - Sent 8100 TEST messages... (.NET 8)
2025-08-09 02:57:41.303 - Sent 8200 TEST messages... (.NET 8)
2025-08-09 02:57:41.380 - Sent 8300 TEST messages... (.NET 8)
2025-08-09 02:57:41.458 - Sent 8400 TEST messages... (.NET 8)
2025-08-09 02:57:41.536 - Sent 8500 TEST messages... (.NET 8)
2025-08-09 02:57:41.614 - Sent 8600 TEST messages... (.NET 8)
2025-08-09 02:57:41.690 - Sent 8700 TEST messages... (.NET 8)
2025-08-09 02:57:41.766 - Sent 8800 TEST messages... (.NET 8)
2025-08-09 02:57:41.843 - Sent 8900 TEST messages... (.NET 8)
2025-08-09 02:57:41.920 - Sent 9000 TEST messages... (.NET 8)
2025-08-09 02:57:41.999 - Sent 9100 TEST messages... (.NET 8)
2025-08-09 02:57:42.078 - Sent 9200 TEST messages... (.NET 8)
2025-08-09 02:57:42.155 - Sent 9300 TEST messages... (.NET 8)
2025-08-09 02:57:42.231 - Sent 9400 TEST messages... (.NET 8)
