2025-08-09 02:54:30.028 - TCP Socket Publisher Starting (.NET 8 Version - simulating WebSocket)...
2025-08-09 02:54:42.573 - Connecting to TCP server at localhost:8080 (.NET 8)
2025-08-09 02:54:44.676 - Connected to TCP server (.NET 8)
2025-08-09 02:54:45.681 - Starting warm-up phase with 100 messages (.NET 8)
2025-08-09 02:54:45.820 - Sent 100 WARMUP messages... (.NET 8)
2025-08-09 02:54:45.821 - Completed sending all 100 WARMUP messages (.NET 8)
2025-08-09 02:54:45.821 - Warm-up phase completed (.NET 8)
2025-08-09 02:54:47.832 - Starting performance test with 10000 messages (.NET 8)
2025-08-09 02:54:47.847 - Sent 100 TEST messages... (.NET 8)
2025-08-09 02:54:47.862 - Sent 200 TEST messages... (.NET 8)
2025-08-09 02:54:47.878 - Sent 300 TEST messages... (.NET 8)
2025-08-09 02:54:47.894 - Sent 400 TEST messages... (.NET 8)
2025-08-09 02:54:47.910 - Sent 500 TEST messages... (.NET 8)
2025-08-09 02:54:47.925 - Sent 600 TEST messages... (.NET 8)
2025-08-09 02:54:47.940 - Sent 700 TEST messages... (.NET 8)
2025-08-09 02:54:47.956 - Sent 800 TEST messages... (.NET 8)
2025-08-09 02:54:47.971 - Sent 900 TEST messages... (.NET 8)
2025-08-09 02:54:47.986 - Sent 1000 TEST messages... (.NET 8)
2025-08-09 02:54:48.001 - Sent 1100 TEST messages... (.NET 8)
2025-08-09 02:54:48.032 - Sent 1200 TEST messages... (.NET 8)
2025-08-09 02:54:48.047 - Sent 1300 TEST messages... (.NET 8)
2025-08-09 02:54:48.063 - Sent 1400 TEST messages... (.NET 8)
2025-08-09 02:54:48.078 - Sent 1500 TEST messages... (.NET 8)
2025-08-09 02:54:48.094 - Sent 1600 TEST messages... (.NET 8)
2025-08-09 02:54:48.109 - Sent 1700 TEST messages... (.NET 8)
2025-08-09 02:54:48.125 - Sent 1800 TEST messages... (.NET 8)
2025-08-09 02:54:48.140 - Sent 1900 TEST messages... (.NET 8)
2025-08-09 02:54:48.155 - Sent 2000 TEST messages... (.NET 8)
2025-08-09 02:54:48.171 - Sent 2100 TEST messages... (.NET 8)
2025-08-09 02:54:48.186 - Sent 2200 TEST messages... (.NET 8)
2025-08-09 02:54:48.201 - Sent 2300 TEST messages... (.NET 8)
2025-08-09 02:54:48.217 - Sent 2400 TEST messages... (.NET 8)
2025-08-09 02:54:48.233 - Sent 2500 TEST messages... (.NET 8)
2025-08-09 02:54:48.249 - Sent 2600 TEST messages... (.NET 8)
2025-08-09 02:54:48.265 - Sent 2700 TEST messages... (.NET 8)
2025-08-09 02:54:48.280 - Sent 2800 TEST messages... (.NET 8)
2025-08-09 02:54:48.296 - Sent 2900 TEST messages... (.NET 8)
2025-08-09 02:54:48.312 - Sent 3000 TEST messages... (.NET 8)
2025-08-09 02:54:48.327 - Sent 3100 TEST messages... (.NET 8)
2025-08-09 02:54:48.342 - Sent 3200 TEST messages... (.NET 8)
2025-08-09 02:54:48.357 - Sent 3300 TEST messages... (.NET 8)
2025-08-09 02:54:48.373 - Sent 3400 TEST messages... (.NET 8)
2025-08-09 02:54:48.389 - Sent 3500 TEST messages... (.NET 8)
2025-08-09 02:54:48.404 - Sent 3600 TEST messages... (.NET 8)
2025-08-09 02:54:48.419 - Sent 3700 TEST messages... (.NET 8)
2025-08-09 02:54:48.434 - Sent 3800 TEST messages... (.NET 8)
2025-08-09 02:54:48.450 - Sent 3900 TEST messages... (.NET 8)
2025-08-09 02:54:48.465 - Sent 4000 TEST messages... (.NET 8)
2025-08-09 02:54:48.481 - Sent 4100 TEST messages... (.NET 8)
2025-08-09 02:54:48.496 - Sent 4200 TEST messages... (.NET 8)
2025-08-09 02:54:48.511 - Sent 4300 TEST messages... (.NET 8)
2025-08-09 02:54:48.527 - Sent 4400 TEST messages... (.NET 8)
2025-08-09 02:54:48.543 - Sent 4500 TEST messages... (.NET 8)
2025-08-09 02:54:48.559 - Sent 4600 TEST messages... (.NET 8)
2025-08-09 02:54:48.574 - Sent 4700 TEST messages... (.NET 8)
2025-08-09 02:54:48.590 - Sent 4800 TEST messages... (.NET 8)
2025-08-09 02:54:48.605 - Sent 4900 TEST messages... (.NET 8)
2025-08-09 02:54:48.621 - Sent 5000 TEST messages... (.NET 8)
2025-08-09 02:54:48.637 - Sent 5100 TEST messages... (.NET 8)
2025-08-09 02:54:48.652 - Sent 5200 TEST messages... (.NET 8)
2025-08-09 02:54:48.668 - Sent 5300 TEST messages... (.NET 8)
2025-08-09 02:54:48.684 - Sent 5400 TEST messages... (.NET 8)
2025-08-09 02:54:48.699 - Sent 5500 TEST messages... (.NET 8)
2025-08-09 02:54:48.715 - Sent 5600 TEST messages... (.NET 8)
2025-08-09 02:54:48.730 - Sent 5700 TEST messages... (.NET 8)
2025-08-09 02:54:48.745 - Sent 5800 TEST messages... (.NET 8)
2025-08-09 02:54:48.761 - Sent 5900 TEST messages... (.NET 8)
2025-08-09 02:54:48.776 - Sent 6000 TEST messages... (.NET 8)
2025-08-09 02:54:48.792 - Sent 6100 TEST messages... (.NET 8)
2025-08-09 02:54:48.807 - Sent 6200 TEST messages... (.NET 8)
2025-08-09 02:54:48.823 - Sent 6300 TEST messages... (.NET 8)
